Fetching data for NSE:DIXON-EQ from Mar 2025 to Dec 2025...
Total Fetched Candles: 25646

Running Backtest with Risk:Reward 1:8...

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
53    | 2025-04-28 09:15:00  | ENTER LONG      | 16500.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 195.00)
53    | 2025-04-28 15:00:00  | EXIT (Square Off) | 16410.00   | -90.00     | Auto Square Off at 15:00
54    | 2025-04-29 09:15:00  | ENTER LONG      | 16786.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 207.00)
54    | 2025-04-29 09:51:00  | EXIT (SL)       | 16579.00   | -207.00    | SL Hit (Low 16560 <= SL 16579.00)
55    | 2025-04-29 11:06:00  | ENTER LONG      | 16679.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 24.00)
55    | 2025-04-29 11:09:00  | EXIT (SL)       | 16655.00   | -24.00     | SL Hit (Low 16645 <= SL 16655.00)
56    | 2025-04-30 09:30:00  | ENTER LONG      | 16475.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 90.00)
56    | 2025-04-30 10:27:00  | EXIT (SL)       | 16385.00   | -90.00     | SL Hit (Low 16382 <= SL 16385.00)
57    | 2025-04-30 10:51:00  | ENTER LONG      | 16471.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 51.00)
57    | 2025-04-30 11:30:00  | EXIT (SL)       | 16420.00   | -51.00     | SL Hit (Low 16410 <= SL 16420.00)
58    | 2025-04-30 14:57:00  | ENTER LONG      | 16440.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 79.00)
58    | 2025-04-30 15:00:00  | EXIT (Square Off) | 16353.00   | -87.00     | Auto Square Off at 15:00
59    | 2025-05-02 09:15:00  | ENTER LONG      | 16583.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 202.00)
59    | 2025-05-02 12:30:00  | EXIT (SL)       | 16381.00   | -202.00    | SL Hit (Low 16381 <= SL 16381.00)
60    | 2025-05-05 09:18:00  | ENTER LONG      | 16488.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 50.00)
60    | 2025-05-05 09:24:00  | EXIT (SL)       | 16438.00   | -50.00     | SL Hit (Low 16420 <= SL 16438.00)
61    | 2025-05-05 09:48:00  | ENTER LONG      | 16444.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 56.00)
61    | 2025-05-05 10:06:00  | EXIT (SL)       | 16388.00   | -56.00     | SL Hit (Low 16372 <= SL 16388.00)
62    | 2025-05-05 10:12:00  | ENTER LONG      | 16430.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 23.00)
62    | 2025-05-05 13:00:00  | EXIT (Target)   | 16614.00   | 184.00     | Target Hit (High 16614 >= Tgt 16614.00)
63    | 2025-05-06 09:18:00  | ENTER SHORT     | 16560.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 119.00)
63    | 2025-05-06 15:00:00  | EXIT (Square Off) | 16087.00   | 473.00     | Auto Square Off at 15:00
64    | 2025-05-07 09:15:00  | ENTER LONG      | 16138.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 337.00)
64    | 2025-05-07 10:15:00  | EXIT (SL)       | 15801.00   | -337.00    | SL Hit (Low 15800 <= SL 15801.00)
65    | 2025-05-07 11:03:00  | ENTER LONG      | 16022.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 23.00)
65    | 2025-05-07 11:15:00  | EXIT (Target)   | 16206.00   | 184.00     | Target Hit (High 16220 >= Tgt 16206.00)
66    | 2025-05-07 13:00:00  | ENTER SHORT     | 16012.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 46.00)
66    | 2025-05-07 13:12:00  | EXIT (SL)       | 16059.00   | -47.00     | SL Hit (High 16059 >= SL 16058.00)
67    | 2025-05-07 13:18:00  | ENTER LONG      | 16049.00   | 0.00       | Fresh Cross (R:R 1:8.0, Risk 4.00)
67    | 2025-05-07 13:24:00  | EXIT (SL)       | 16045.00   | -4.00      | SL Hit (Low 16035 <= SL 16045.00)
