Fetching data for NSE:DIXON-EQ from Oct 1, 2025 to Nov 30, 2025...
Fetching 2025-10-01 to 2025-10-31...
  Fetched 2521 candles.
Fetching 2025-11-01 to 2025-11-30...
  Fetched 2375 candles.
Total Fetched Candles: 4896

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
168   | 2025-11-03 10:27:00  | EXIT (SL)       | 15386.00   | 64.00      | SL Hit (Close 15386 >= SL 15371.30)
169   | 2025-11-03 10:27:00  | ENTER LONG      | 15386.00   | 0.00       | SL Reversal Entry
169   | 2025-11-03 10:33:00  | EXIT (Reversal) | 15362.00   | -24.00     | Reversed to SHORT
170   | 2025-11-03 10:33:00  | ENTER SHORT     | 15362.00   | 0.00       | Reversal Entry (Close 15362 < VWAP 15371.33)
170   | 2025-11-03 10:39:00  | EXIT (Reversal) | 15378.00   | -16.00     | Reversed to LONG
171   | 2025-11-03 10:39:00  | ENTER LONG      | 15378.00   | 0.00       | Reversal Entry (Close 15378 > VWAP 15371.66)
171   | 2025-11-03 15:00:00  | EXIT (Square Off) | 15474.00   | 96.00      | Auto Square Off at 15:00:00
172   | 2025-11-04 09:15:00  | ENTER SHORT     | 15485.00   | 0.00       | Fresh Entry (Close 15485 < VWAP 15490.67)
172   | 2025-11-04 09:24:00  | EXIT (Reversal) | 15484.00   | 1.00       | Reversed to LONG
173   | 2025-11-04 09:24:00  | ENTER LONG      | 15484.00   | 0.00       | Reversal Entry (Close 15484 > VWAP 15480.83)
173   | 2025-11-04 09:27:00  | EXIT (Reversal) | 15465.00   | -19.00     | Reversed to SHORT
174   | 2025-11-04 09:27:00  | ENTER SHORT     | 15465.00   | 0.00       | Reversal Entry (Close 15465 < VWAP 15479.90)
174   | 2025-11-04 09:54:00  | EXIT (SL)       | 15502.00   | -37.00     | SL Hit (Close 15502 >= SL 15467.45)
175   | 2025-11-04 09:54:00  | ENTER LONG      | 15502.00   | 0.00       | SL Reversal Entry
175   | 2025-11-04 09:57:00  | EXIT (SL)       | 15448.00   | -54.00     | SL Hit (Close 15448 <= SL 15450.00)
176   | 2025-11-04 09:57:00  | ENTER SHORT     | 15448.00   | 0.00       | SL Reversal Entry
176   | 2025-11-04 10:00:00  | EXIT (Reversal) | 15478.00   | -30.00     | Reversed to LONG
177   | 2025-11-04 10:00:00  | ENTER LONG      | 15478.00   | 0.00       | Reversal Entry (Close 15478 > VWAP 15469.26)
177   | 2025-11-04 10:06:00  | EXIT (Reversal) | 15465.00   | -13.00     | Reversed to SHORT
178   | 2025-11-04 10:06:00  | ENTER SHORT     | 15465.00   | 0.00       | Reversal Entry (Close 15465 < VWAP 15469.16)
178   | 2025-11-04 15:00:00  | EXIT (Square Off) | 15263.00   | 202.00     | Auto Square Off at 15:00:00
179   | 2025-11-06 09:15:00  | ENTER SHORT     | 15241.00   | 0.00       | Fresh Entry (Close 15241 < VWAP 15250.33)
179   | 2025-11-06 09:18:00  | EXIT (Reversal) | 15296.00   | -55.00     | Reversed to LONG
